singer,song,low,high,super_high
Ado,新時代(ウタ from ONE PIECE FILM RED),2mid1E,3hiD,3hiF#
Ado,私は最強(ウタ from ONE PIECE FILM RED),2mid2A,3hiD,3hiE
Ado,逆光(ウタ from ONE PIECE FILM RED),2mid1G#,3hiC#,2mid2G#
Ado,ウタカタララバイ,2mid2A#,3hiD#,3hihiC#
Ado,うっせぇわ,2mid2A,3hiD#,3hiC
Ado,踊,2mid1F,3hiF,3hihiD#
Ado,会いたくて,2mid1F,3hiD,3hiF
Ado,夜のピエロ,2mid1G#,3hiC,3hiD#
Ado,レディメイド,2mid1C#,3hiD#,3hiD#
Ado,心という名の不可解,2mid1E,3hiF,3hiF
Ado,ギラギラ,2mid1F#,3hiD,3hiD#
Ado,阿修羅ちゃん,2mid1C#,3hiC#,
Ado,マザーランド,2mid1F#,3hiD#,3hiG#
Ado,Tot Musica,2mid1E,3hiD,
Ado,風のゆくえ,2mid1F,3hiD,2mid2F#
Ado,世界のつづき,2mid1E,3hiD,3hiE
Ado,永遠のあくる日,2mid1E,3hiD,3hiE
Ado,ドメスティックでバイオレンス,2mid1D,3hiC#,3hiA#
Ado,ラッキー・ブルート,2mid1F#,3hiC#,3hiC#
Ado,FREEDOM,2mid1F#,3hiE,3hiG
Ado,花火,2mid2A#,3hiA#,3hiD#
Ado,金木犀(feat. Ado),2mid1F,3hiB,3hiE
Ado,過学習,2mid1G#,3hiC,3hiE
Aqua Timez,千の夜をこえて,2mid1C#,3hiA#,
Aqua Timez,夏のかけら,2mid1E,2mid2F#,
Aqua Timez,決意の朝に,2mid1E,2mid2F#,
Aqua Timez,等身大のラブソング,2mid1F,2mid2G,
Aqua Timez,ALONES,2mid1G,2mid2G#,
Aqua Timez,虹,2mid1F,2mid2G#,
Aqua Timez,プルメリア 〜花唄〜,2mid1F#,3hiA,
Aqua Timez,生きて,2mid1F#,3hiA,
Aqua Timez,しおり,2mid1C,3hiA#,
Aqua Timez,小さな掌,2mid1F,2mid2G#,
Aqua Timez,MASK,2mid1D#,2mid2G#,
Aqua Timez,いつもいっしょ,2mid1D,3hiA#,
Aqua Timez,最後まで,2mid1G,3hiA,
Aqua Timez,STAY GOLD,2mid1E,2mid2G#,
Aqua Timez,Velonica,2mid1B,2mid2G,
Aqua Timez,最後までⅡ,2mid1F#,2mid2G#,
Aqua Timez,月のカーテン,2mid1B,3hiA,
Aqua Timez,平行世界,2mid1E,3hiA,
Aqua Timez,イヴの指輪,2mid1B,2mid2G,
Aqua Timez,風に吹かれて,2mid1D#,2mid2F#,
Aqua Timez,流星のうた,2mid1C#,3hiA#,
Aqua Timez,絵はがきの春,2mid1C#,2mid2G#,
Aqua Timez,薫,2mid1E,2mid2E,
Aqua Timez,静かなる恋の物語,2mid1F#,2mid2F#,
Aqua Timez,ねがお,2mid1F#,2mid2G#,
Aqua Timez,希望の咲く丘から,2mid1D,3hiA,
GReeeeN,愛唄,2mid1D#,3hiC,
GReeeeN,愛し君へ,2mid1C#,3hiC#,
GReeeeN,キセキ,2mid1G,3hiA#,
GReeeeN,星影のエール,2mid1C,3hiC,3hiC
GReeeeN,相思相愛,2mid1B,3hiC#,2mid2G#
GReeeeN,ボクたちの電光石火,2mid1E,3hiC#,
GReeeeN,アイノカタチ,2mid1A,2mid2F,
GReeeeN,歩み,2mid1G,3hiB,
GReeeeN,忍,2mid1A#,3hiD#,
GReeeeN,あの日のオレンジ,1lowG#,3hiC,
GReeeeN,雨唄,2mid1A,3hiC,
GReeeeN,イカロス,2mid1C,3hiD,
GReeeeN,いつまでも,1lowF#,3hiC,3hiA#
GReeeeN,おまじない,2mid1G,3hiA#,3hiA#
GReeeeN,虹,2mid1B,3hiC#,
GReeeeN,オレンジ,2mid1A,3hiC#,3hiA
GReeeeN,フタリ,1lowG#,3hiC,
GReeeeN,風,2mid1F,3hiC,
GReeeeN,Green boys,2mid1E,3hiC#,
GReeeeN,桜color,2mid1C#,3hiD#,
GReeeeN,あいうえおんがく,2mid1G,3hiB,
GReeeeN,アカリ,2mid1A#,3hiC,
GReeeeN,君想い,1lowF#,3hiA,
GReeeeN,U R not alone,2mid1D#,3hiC,
GReeeeN,刹那,2mid1E,3hiA,
GReeeeN,恋,2mid1B,3hiC#,
GReeeeN,ビリーヴ,2mid1A#,3hiD,
GReeeeN,卒業の唄〜アリガトウは何度も言わせて〜,1lowF#,3hiD#,3hiC#
GReeeeN,ソラシド,1lowG#,3hiC,
GReeeeN,空への手紙,2mid1D#,3hiB,
GReeeeN,旅立ち,2mid1F#,2mid2G#,
GReeeeN,手紙〜君たちへ〜,2mid1B,2mid2D#,
GReeeeN,サヨナラから始めよう,1lowG#,3hiA#,
GReeeeN,サヨナラ ありがとう,1lowG,3hiE,
GReeeeN,扉,2mid1C#,3hiC,
GReeeeN,夏の音,2mid1B,3hiC#,
GReeeeN,涙空,2mid1A#,3hiC,
GReeeeN,花唄,2mid1E,3hiA,
GReeeeN,遥か,2mid1A,3hiC#,
GReeeeN,春を待ちわびて,2mid1B,3hiC,
GReeeeN,HEROES,1lowF#,3hiD,
GReeeeN,人,1lowF,3hiB,
GReeeeN,BE FREE,1lowG#,3hiA#,2mid2G#
GReeeeN,ノスタルジア,2mid1C#,3hiC#,3hiC#
GReeeeN,父母唄,2mid1D,2mid2E,
GReeeeN,冬のある日の唄,1lowG,3hiB,
GReeeeN,アメアガリ,2mid1A,3hiC,
GReeeeN,pride,2mid1C#,3hiC#,
GReeeeN,BEST FRIEND,2mid1F,3hiB,
GReeeeN,勝ちドキ,2mid1D,3hiC#,
GReeeeN,星の降る夜に,1lowF#,3hiC#,3hiC#
GReeeeN,僕らの物語,2mid1B,3hiC#,
GReeeeN,僕らは物語,1lowG#,3hiD#,
GReeeeN,またね。,2mid1G,3hiA,3hiD
GReeeeN,未完成ing,2mid1A,3hiE,
GReeeeN,ミセナイナミダハ、きっといつか,1lowF#,3hiA#,
GReeeeN,キミマツ,2mid1C,3hiC,
GReeeeN,PHANTOM〜約束〜,2mid1C#,3hiD#,
GReeeeN,ミドリイロ,2mid1A#,3hiD#,3hiA#
GReeeeN,道,2mid1F,2mid2G#,
GReeeeN,雪の音,2mid1A,3hiC,
GReeeeN,恋文〜ラブレター〜,2mid1A,3hiC#,
GReeeeN,街,1lowG,2mid2G,
GReeeeN,両親への手紙,2mid1A,3hiD,
GReeeeN,子犬,2mid1D,3hiD,
GReeeeN,暁の君に,2mid1D,3hiE,
GReeeeN,ソビト,1lowG,3hiC,3hiA
GReeeeN,カワリバンコハンブンコ,2mid1B,3hiC#,
GReeeeN,STORY,2mid1D,2mid2G,
GReeeeN,beautiful days,2mid1C,3hiC#,
GReeeeN,一番星,1lowG,3hiC,
GReeeeN,光,2mid1F#,3hiB,
GReeeeN,遠くの空 指差すんだ,2mid1C#,3hiA#,
GReeeeN,ユメノート,2mid1A,3hiC#,
GReeeeN,口笛,2mid1C#,3hiB,
GReeeeN,ありがとうなんて言わなくても全部分かってるんだ,2mid2B,3hiC#,
GReeeeN,いつもいつでも,2mid2A,3hiD,
GReeeeN,贈る言葉,2mid1D#,3hiC#,
GReeeeN,SAKAMOTO,2mid1E,2mid2F#,
GReeeeN,約束×No title,2mid2A,3hiB,3hiE
GReeeeN,OH!!!! 迷惑!!!!,1lowG#,3hiE,
GReeeeN,11,2mid1E,3hiB,
GReeeeN,声,2mid1A,3hiA,
GReeeeN,声 〜koe2018〜,1lowF#,3hiA,
GReeeeN,KARAKARA,1lowG,3hiG,
ケツメイシ,さくら,2mid1D#,2mid2G,
ケツメイシ,友よ〜この先もずっと,2mid1G,2mid2G#,
ケツメイシ,バラード,2mid1A#,2mid2G,2mid2G
ケツメイシ,そばにいて,2mid1A,2mid2G,3hiA
ケツメイシ,出会いのかけら,2mid1E,2mid2G#,
ケツメイシ,夏の思い出,2mid1D#,2mid2F#,
ケツメイシ,トレイン,2mid1D,2mid2G#,
ケツメイシ,恋の終わりは意外と静かに,2mid1F#,2mid2G#,
ケツメイシ,仲間,2mid1A#,2mid2G,
ケツメイシ,いい感じ,2mid1G,2mid2G,
ケツメイシ,涙,2mid1D#,2mid2G#,
ケツメイシ,さらば涙,2mid1D,2mid2G,
ケツメイシ,カリフォルニー,2mid1C,2mid2D#,
ケツメイシ,トモダチ,2mid1D#,2mid2G#,
ケツメイシ,始まりの予感,2mid1F,2mid2F,
ケツメイシ,幸せをありがとう,2mid1C#,2mid2D#,
ケツメイシ,君と作る未来,2mid1C#,2mid2D#,
ケツメイシ,カンパイの唄,2mid1F,2mid2G,
ケツメイシ,こだま,2mid1C,2mid2G,
ケツメイシ,月と太陽,2mid1B,2mid2F,
ケツメイシ,また君に会える,2mid1D#,2mid2F#,
スキマスイッチ,奏(かなで),2mid1D,2mid2G#,3hiA#
スキマスイッチ,ガラナ,2mid1F,3hiA#,
スキマスイッチ,アーセンの憂鬱,2mid1F,3hiA,3hiD
スキマスイッチ,藍,2mid1D#,2mid2G#,2mid2G#
スキマスイッチ,青春,2mid1D,3hiA,3hiD
スキマスイッチ,雨待ち風,2mid1C#,3hiB,
スキマスイッチ,アイスクリームシンドローム,2mid1E,3hiA,3hiC#
スキマスイッチ,Ah Yeah!!,2mid1C,3hiA#,
スキマスイッチ,石ころDays,2mid1D,3hiA,3hiB
スキマスイッチ,糸ノ意図,2mid1E,2mid2G#,3hiB
スキマスイッチ,君の話,2mid1A#,2mid2G#,
スキマスイッチ,ゲノム,2mid1C#,2mid2G#,3hiC#
スキマスイッチ,ゴールデンタイムラバー,2mid1D#,2mid2G#,
スキマスイッチ,桜夜風,2mid1D,3hiA,
スキマスイッチ,雫,2mid1E,2mid2G#,
スキマスイッチ,スフィアの羽根,2mid1F#,2mid2G#,3hiB
スキマスイッチ,全力少年,2mid1D,3hiA,
スキマスイッチ,トラベラーズ・ハイ,2mid1D,3hiA,3hiB
スキマスイッチ,螺旋,2mid1E,3hiA,3hiC
スキマスイッチ,虹のレシピ,2mid1F#,3hiA,3hiB
スキマスイッチ,猫になれ,2mid1D#,2mid2G#,
スキマスイッチ,飲みにこないか,2mid1E,2mid2G#,
スキマスイッチ,晴ときどき曇,2mid1C,3hiA,
スキマスイッチ,夏のコスモナウト,2mid1C#,3hiB,3hiC#
スキマスイッチ,冬の口笛,2mid1D#,2mid2G,3hiD#
スキマスイッチ,レモネード,2mid1E,2mid2G#,3hiA
スキマスイッチ,ふれて未来を,2mid1E,2mid2G,3hiC
スキマスイッチ,ボクノート,2mid1E,2mid2G,3hiA#
スキマスイッチ,星のうつわ,2mid1D,2mid2G,
スキマスイッチ,病院に行く,2mid1E,2mid2G#,
スキマスイッチ,双星(ふたぼし)プロローグ,2mid1G,3hiA,3hiC
スキマスイッチ,view,2mid1F#,3hiA,3hiA
スキマスイッチ,Hello Especially,2mid1F#,3hiB,3hiC#
スキマスイッチ,パラボラヴァ,2mid1E,3hiA,
スキマスイッチ,僕と傘と日曜日,2mid1F,3hiA#,3hiA#
スキマスイッチ,マリンスノウ,2mid1C#,2mid2F#,3hiA
スキマスイッチ,未来花,2mid1A,2mid2G,3hiC
スキマスイッチ,ユリーカ,2mid1E,3hiA#,
スキマスイッチ,LINE,2mid1C#,3hiA#,3hiC#
スキマスイッチ,Revival,1lowG#,2mid2G#,
スキマスイッチ,さいごのひ,2mid1A,3hiA,3hiA
スキマスイッチ,スカーレット,2mid1C,2mid2G,3hiC
スキマスイッチ,時間の止め方,2mid1B,3hiA,3hiA
スキマスイッチ,蝶々ノコナ,2mid1C#,3hiA,
スキマスイッチ,願い言,2mid1F#,3hiA,
SMAP,ありがとう,2mid1C#,2mid2G#,3hiA#
SMAP,オレンジ,2mid1B,2mid2G,2mid2G
SMAP,がんばりましょう,2mid1F#,2mid2G#,2mid2G#
SMAP,しようよ,2mid1C,2mid2G#,
SMAP,世界に一つだけの花,2mid1E,2mid2F#,
SMAP,そっと きゅっと,2mid1C#,2mid2F#,
SMAP,This is love,2mid1D,2mid2F#,
SMAP,僕の半分,2mid1B,2mid2F#,
SMAP,夜空ノムコウ,2mid1F,2mid2G,
SMAP,らいおんハード,2mid1D,2mid2G,
SMAP,雪が降ってきた,2mid1F,2mid2G,
SMAP,青いイナズマ,2mid1D,2mid2G,
SMAP,俺たちに明日はある,2mid1E,3hiA,
SMAP,ずっと忘れない,2mid1F,2mid2G,
SMAP,はじめての夏,2mid1D#,2mid2G,
SMAP,Dear WOMAN,2mid1C,2mid2G,
SMAP,弾丸ファイター,2mid1G,3hiA,3hiA
SMAP,ずっと忘れない,2mid1F,2mid2G,
SMAP,君色思い,2mid1D,2mid2F#,
SMAP,たいせつ,2mid1B,2mid2G#,
SMAP,Smac,2mid1D,2mid2F#,
SMAP,笑顔のゲンキ,2mid1E,2mid2F,
DA PUMP,if…,2mid1G#,3hiA,
DA PUMP,U.S.A,2mid2B,3hiB,3hiD
DA PUMP,桜,2mid1F,3hiA#,
DA PUMP,Joyful,2mid1E,3hiA,
DA PUMP,Purple The Orion,2mid1E,3hiA,
DA PUMP,Crazy Rain,2mid2A,3hiA,
DA PUMP,I wonder…,2mid1G,3hiA,
DA PUMP,Stay Together,2mid2A,3hiA#,
DA PUMP,CORAZON,2mid1G,3hiA,
DA PUMP,Stay with me,2mid1F#,3hiB,
DA PUMP,Bright! our Future,2mid2A,3hiA,
DA PUMP,轍-WADACHI-,2mid1D,3hiC,
橘慶太,道標,2mid1G#,3hiA#,
橘慶太,FRIEND,2mid1E,3hiA,
橘慶太,桜想ふ,2mid1F,3hiA#,3hiC
橘慶太,キャンドル,2mid1D,3hiA#,3hiC
橘慶太,恋愛道,2mid1F,2mid2G#,
橘慶太,キミノコエ,2mid1E,3hiA,
橘慶太,少年,2mid1C#,2mid2G#,3hiC#
橘慶太,声,2mid1D#,2mid2F#,
橘慶太,覚醒,2mid1C#,2mid2G#,
橘慶太,愛のカタチ,2mid1G,3hiA#,3hiC
長渕剛,乾杯,2mid1D,2mid2G,
長渕剛,ひまわり,2mid1A,2mid2D,
長渕剛,金色のライオン,1lowG,2mid2F#,
長渕剛,とんぼ,2mid1D,2mid2G,
長渕剛,順子,2mid1E,2mid2G,3hiA
長渕剛,ひとつ,2mid1B,3hiA,3hiB
長渕剛,ろくなもんじゃねえ,2mid1E,2mid2G#,
長渕剛,しゃぼん玉,2mid1D,2mid2E,
長渕剛,しあわせになろうよ,2mid1B,2mid2F,
長渕剛,CLOSE YOUR EYES,1lowF,2mid2G,
長渕剛,青春,2mid1A,2mid2G,
長渕剛,俺らの家まで,2mid1A,3hiA,
長渕剛,JAPAN,2mid1E,2mid2F#,
長渕剛,恋人時代,2mid1C#,hiA,
長渕剛,Orange,2mid1C,2mid2F,
長渕剛,夏祭り,2mid1B,mid2G#,
長渕剛,交差点,2mid1E,hiA,
長渕剛,愛してるのに,2mid1F#,hiB,
長渕剛,カラス,2mid1G,hiA,
長渕剛,ヒロイン,2mid1E,hiA,
中西保志,最後の雨,2mid1B,3hiA,
中西保志,ハナミズキ,2mid1D,2mid2F,
中西保志,ラヴ・イズ・オーヴァー,2mid1D,2mid2E,
中西保志,はじまりはいつも雨,2mid1D,2mid2F,
中西保志,想い出を閉じ込めて,2mid1C,3hiA,
中西保志,千年前から君を見つめていた,1lowG#,2mid2G#,
中西保志,だから憶えている,2mid1B,2mid2G#,
中西保志,君が微笑むなら,2mid1C,3hiA#,
中西保志,サヨナラが待っている,2mid1B,2mid2F,
中西保志,どうして君を傷つけたのだろう,2mid1E,3hiA#,
中西保志,LAST CALL,2mid1C#,3hiA#,2mid2F#
中西保志,歓送の歌,2mid1C,2mid2F,
back number,瞬き,2mid1F,2mid2G#,3hiC
back number,アップルパイ,2mid1F#,2mid2G#,3hiD
back number,笑顔,2mid1C#,3hiA#,
back number,思い出せなくなるその日まで,2mid1B,3hiA,
back number,恋,2mid1E,2mid2F#,
back number,わたがし,2mid1E,3hiA,3hiC
back number,君の恋人になったら,2mid1C,3hiA,3hiC
back number,クリスマスソング,2mid1B,3hiA,3hiC#
back number,ささえる人の歌,2mid1E,3hiA,3hiA
back number,青い春,2mid1B,3hiC,
back number,怪盗,2mid1A,3hiA,3hiB
back number,黄色,2mid1D,2mid2G,3hiB
back number,サイレン,2mid1F#,3hiA,3hiE
back number,聖者の行進,2mid1B,3hiA,3hiE
back number,高嶺の花子さん,2mid1E,3hiB,3hiD
back number,大不正解,2mid1C,2mid2G#,
back number,繋いだ手から,2mid1C#,3hiA,3hiB
back number,手紙,2mid1D#,2mid2G,3hiC
back number,雨と僕の話,2mid1D,3hiA,3hiB
back number,ハッピーエンド,2mid1C#,3hiA,3hiB
back number,電車の窓から,2mid1D,2mid2G,
back number,日曜日,2mid1F,3hiA,3hiC
back number,HAPPY BIRTHDAY,1lowF#,2mid2G#,3hiB
back number,花束,2mid1A,3hiA#,3hiC
back number,水平線,2mid1D,2mid2G,3hiC
back number,はなびら,2mid1D,3hiA,
back number,半透明人間,2mid1C#,3hiA#,
back number,ヒロイン,2mid1D,3hiB,3hiB
back number,fish,2mid1F,3hiA#,
back number,幸せ,2mid1B,3hiA,
back number,泡と羊,2mid1B,3hiA,3hiB
back number,ARTIST,2mid1D,3hiA,3hiA
back number,オールドファッション,2mid1C#,3hiA,3hiB
back number,エメラルド,2mid1E,3hiA,3hiB
back number,黒い猫の歌,2mid1C#,3hiA,3hiA
back number,stay with me,2mid1F#,2mid2G#,3hiB
back number,スーパースターになったら,2mid1D,3hiA,
back number,僕の名前を,2mid1C#,2mid2G#,3hiA
back number,世田谷ストーリー,2mid1A,3hiA,3hiB
back number,そのドレスちょっと待った,2mid1E,3hiA,
back number,003,2mid1C#,3hiA,
back number,東京の夕焼け,2mid1D,3hiA,
back number,春を歌にして,2mid1A#,3hiA#,3hiA#
back number,光の街,2mid1B,3hiA,
back number,平日のブルース,2mid1D#,3hiA,3hiB
back number,僕は君の事が好きだけど君は僕を別に好きじゃないみたい,2mid1E,3hiA#,3hiA#
back number,ミラーボールとシャンデリア,2mid1C,3hiA,3hiC
back number,MOTTO,2mid1C#,3hiA,
back number,Liar,2mid1E,3hiA#,3hiC
back number,リッツパーティー,2mid1F#,2mid2G#,
back number,君の代わり,2mid1E,2mid2F#,
back number,こわいはなし,2mid1E,3hiA,
back number,おまえさん,2mid1E,3hiC,
back number,bird's sorrow,2mid1F#,3hiA,3hiB
back number,tender,2mid1C,3hiC,
back number,頬を濡らす雨のように,2mid1G#,2mid2G#,3hiA#
back number,SISTER,2mid1A#,2mid2G#,3hiC#
back number,サマーワンダーランド,2mid1E,2mid2F#,3hiA
